id,date,year,bugs,built,scored,cmplxf
2023.04.04-4525864174,2023.04.04,2023, 71663,1668, 3157, 378566
2023.04.18-4669109317,2023.04.18,2023, 94421,2318, 4830, 446150
2023.05.18-4874941690,2023.05.18,2023, 78937,2003, 4325, 367170
2023.06.15-5138979444,2023.06.15,2023, 79738,2035, 4396, 364389
2023.07.20-5468078644,2023.07.20,2023, 79698,2071, 4443, 355792
2023.08.17-5721037745,2023.08.17,2023, 79821,2097, 4518, 371556
2023.09.27-6151818175,2023.09.27,2023, 79943,2127, 4571, 385852
2024.04.22-8786789560,2024.04.22,2024, 417,42, 0, 2818
2024.05.01-8903487900,2024.05.01,2024, 9889,237, 473, 47342
2024.06.01-9326039744,2024.06.01,2024, 11100,235, 473, 55945
2024.07.01-9736217804,2024.07.01,2024, 11652,243, 486, 60845
